"Participant_id","Gender","Women_Protection","Religion_Level","Age","Highest_Edu_Lvl"
50014,0,2,5,65,322
50030,1,2,0,21,423
50057,1,4,8,53,610
50106,1,3,6,78,422
50145,0,3,1,64,322
50158,1,3,3,59,313
50211,1,2,6,77,212
50212,1,3,6,69,720
50213,1,2,5,52,422
50235,1,2,10,75,212
50236,1,2,6,44,422
50240,1,3,9,63,322
50248,1,2,8,76,212
50270,1,2,0,30,720
50281,1,1,7,67,322
50310,0,5,4,41,322
50311,1,2,4,82,322
50324,0,2,0,26,322
50339,0,2,3,42,212
50341,1,2,9,85,322
50349,0,2,8,72,322
50355,0,2,0,31,322
50358,0,1,1,47,423
50363,1,3,6,50,322
50367,1,3,10,60,313
50375,1,2,5,43,610
50380,1,3,5,41,322
50412,1,1,4,35,313
50423,1,2,5,49,212
50427,1,3,3,36,322
50433,0,4,0,46,720
50441,1,2,5,81,212
50446,1,1,8,57,322
50465,1,3,0,67,423
50468,1,2,10,38,322
50489,1,4,6,42,423
50512,1,3,2,59,213
50517,0,4,10,77,212
50577,0,2,9,58,322
50591,1,1,5,38,322
50592,1,2,5,79,322
50611,1,4,6,25,322
50623,1,2,9,34,322
50637,0,3,7,74,720
50638,0,2,3,74,322
50651,1,3,5,36,610
50681,0,2,5,28,322
50687,0,2,4,65,322
50707,1,2,5,42,212
50714,0,2,1,60,720
50730,0,3,6,60,322
50732,1,2,1,16,213
50735,0,2,5,28,423
50812,1,3,7,71,322
50868,1,5,2,20,322
50897,1,3,8,80,212
50910,1,2,7,75,212
50979,0,2,4,51,423
50994,1,5,4,87,322
50995,1,2,2,57,520
51015,0,2,7,76,322
51029,0,2,4,61,322
51042,1,3,0,43,322
51046,1,2,7,76,212
51086,1,3,8,43,520
51112,0,2,4,51,322
51128,0,2,5,69,423
51136,1,2,7,47,610
51181,0,2,7,89,322
51190,0,2,9,72,322
51191,1,2,0,74,322
51192,1,3,7,68,422
51221,1,3,0,36,423
51224,0,3,2,87,520
51259,0,1,10,24,322
51262,0,2,3,59,322
51322,0,2,2,32,322
51414,1,3,5,47,423
51440,0,4,0,45,710
51455,0,2,4,44,423
51503,0,1,8,68,322
51506,0,2,7,33,520
51521,0,1,6,27,322
51555,0,2,4,28,322
51578,0,2,8,73,322
51581,0,2,4,62,322
51596,0,3,3,58,322
51650,1,5,9,90,720
51713,0,2,5,38,423
51719,1,2,7,85,212
51720,1,2,6,74,322
51731,0,3,0,42,720
51735,1,2,1,51,610
51736,0,1,8,76,322
51739,1,3,6,70,322
51741,0,3,0,28,322
51757,0,2,5,18,212
51766,0,1,0,64,322
51773,0,2,9,59,322
51780,1,2,5,49,322
51857,1,2,5,71,322
51878,0,3,2,58,610
51897,0,4,0,83,322
51901,1,3,10,74,610
51911,1,3,0,86,720
51944,1,2,6,26,212
51959,0,2,8,52,322
51961,0,4,6,63,423
51965,1,4,4,61,322
51977,1,2,10,47,322
51995,0,2,7,70,322
52020,0,2,2,68,322
52035,1,2,6,50,720
52046,0,3,3,62,313
52062,1,2,4,64,322
52065,0,2,6,39,610
52089,1,2,0,43,322
52094,0,2,3,47,322
52117,1,2,3,30,322
52135,1,1,6,77,322
52150,1,2,3,48,423
52170,1,3,0,35,620
52179,0,3,2,48,322
52249,0,3,2,53,520
52271,0,2,7,54,520
52278,0,2,4,50,322
52280,1,3,5,42,322
52284,0,3,77,46,322
52285,0,2,5,53,322
52286,1,2,5,33,322
52289,0,1,10,23,423
52291,0,4,0,73,212
52293,0,1,0,55,520
52305,1,3,1,64,322
52438,1,4,8,76,610
52449,0,2,5,57,423
52452,0,2,8,69,800
52471,1,3,0,47,422
52472,1,3,0,57,610
52477,1,3,0,57,322
52480,0,2,6,90,322
52487,0,5,7,44,610
52510,1,4,7,73,800
52519,1,3,6,78,212
52532,1,2,0,72,212
52545,1,3,0,54,620
52573,1,2,6,24,322
52600,1,2,8,42,212
52616,0,2,0,17,213
52629,1,2,4,59,322
52638,1,3,6,81,212
52644,1,3,7,50,423
52681,0,3,2,45,720
52716,0,1,0,62,212
52731,1,3,4,71,322
52744,0,3,0,58,720
52745,0,2,3,53,322
52759,1,2,5,65,322
52762,1,3,5,29,322
52781,1,2,3,29,322
52791,1,2,5,67,322
52796,0,2,4,69,322
52815,0,4,1,25,322
52833,0,2,3,44,423
52858,1,2,8,70,322
52880,1,3,8,61,113
52888,1,2,10,64,212
52891,0,2,8,56,620
52904,0,3,5,71,212
52907,0,2,5,74,313
52910,1,5,0,19,212
52975,0,4,5,48,422
52994,1,3,6,39,422
53002,0,3,0,69,423
53008,0,2,6,81,5555
53011,1,2,9,80,322
53015,1,3,3,34,620
53016,1,2,8,81,322
53029,0,2,5,57,322
53067,1,3,6,30,313
53091,1,5,9,70,610
53100,1,2,7,77,322
53131,1,4,2,66,322
53145,0,2,0,54,322
53154,0,2,1,68,322
53159,1,3,3,70,313
53183,1,3,0,53,322
53193,0,2,5,52,423
53212,0,2,6,76,322
53236,1,3,9,77,610
53245,1,2,2,40,212
53278,1,3,9,50,422
53286,1,2,3,60,322
53298,1,2,7,73,422
53301,0,1,0,65,322
53315,0,2,8,58,620
53333,0,5,7,89,423
53359,0,2,4,48,423
53368,1,1,2,84,322
53377,1,2,6,41,322
53380,1,2,8,86,212
53384,1,5,2,60,322
53390,0,1,7,61,322
53398,0,2,4,51,322
53415,0,2,0,36,322
53425,1,2,8,57,322
53458,0,2,10,75,322
53467,1,2,7,90,212
53497,0,3,5,65,720
53502,0,3,7,45,322
53509,1,2,9,47,322
53535,1,5,0,26,313
53536,1,2,6,75,113
53539,0,2,3,35,322
53567,1,3,4,52,322
53580,1,3,7,28,322
53620,0,3,3,56,520
53645,0,3,0,67,322
53647,1,3,5,63,520
53674,1,2,6,81,322
53691,0,3,0,64,313
53810,1,2,3,51,313
53820,1,4,4,21,322
53821,1,2,4,66,610
53834,1,2,0,17,213
53841,0,3,4,18,212
53865,0,2,3,52,322
53877,1,5,5,76,322
53922,0,3,6,19,313
53933,0,2,5,51,322
53938,0,2,5,43,322
53948,1,4,9,58,212
53957,1,2,5,41,322
53971,1,2,5,80,212
53989,0,2,7,47,322
54005,1,2,3,52,322
54007,0,2,7,73,322
54024,0,2,5,53,423
54027,1,2,7,61,322
54030,0,2,0,33,322
54035,1,3,5,44,322
54054,1,2,1,64,322
54060,1,4,0,56,322
54081,0,2,5,32,322
54136,1,2,5,54,322
54159,1,2,1,52,322
54171,1,3,3,35,720
54172,0,2,4,69,322
54175,1,2,5,34,322
54185,0,1,8,48,322
54206,1,2,5,26,423
54236,1,2,8,85,212
54257,1,2,1,57,322
54260,1,3,3,69,720
54342,0,2,3,66,322
54344,0,2,1,71,322
54364,0,2,6,82,423
54389,0,2,5,85,212
54439,1,5,8,27,313
54458,1,3,6,60,322
54499,1,2,4,55,322
54515,0,5,1,57,720
54554,0,2,3,52,720
54557,0,1,8,49,322
54571,1,3,6,41,520
54578,0,1,8,76,423
54588,0,3,5,41,710
54675,1,2,0,85,322
54687,0,2,3,21,212
54697,0,4,7,76,322
54730,1,2,9,88,212
54735,1,3,8,76,322
54739,0,2,6,33,322
54744,1,4,1,66,800
54796,0,2,6,84,322
54801,1,2,6,89,422
54837,1,4,1,33,610
54871,1,1,0,28,212
54886,1,4,8,34,610
54929,0,2,6,44,610
54930,0,2,7,51,322
54936,0,3,2,37,423
54937,0,1,10,24,322
54957,1,3,7,76,113
54962,0,3,8,69,322
55024,1,2,4,64,322
55040,1,2,8,83,212
55046,1,3,5,25,212
55057,1,4,7,60,322
55064,1,3,0,74,113
55093,1,4,3,31,322
55120,0,2,0,44,620
55127,1,2,1,52,423
55129,1,2,9,75,322
55158,0,2,1,20,313
55187,1,4,1,36,313
55196,0,1,2,44,322
55197,1,2,5,41,423
55206,0,3,0,75,322
55208,1,3,7,48,322
55232,1,2,0,30,322
55248,1,3,2,58,322
